tconst	averageRating	numVotes
tt3797482	8.0	303
tt6655900	6.8	12
tt36302918	1.2	17
tt33101376	8.3	62
tt4740640	9.6	9
tt28196838	8.9	10
tt0116732	6.3	163
tt4546288	7.4	28
tt0979456	7.2	366
tt0398757	5.6	63
tt4997672	8.4	7
tt6435350	7.3	1255
tt32135757	9.8	17
tt0434940	8.8	16
tt0070653	6.4	6065
tt2183138	6.4	10
tt1956481	8.1	43
tt7991856	7.0	24
tt1642142	3.0	36
tt0014316	5.5	140
tt0415471	8.0	102
tt0706141	7.0	10
tt8261982	5.5	27
tt0595914	6.3	20
tt12966634	9.6	8
tt10658770	9.4	7
tt2243490	7.1	22
tt29431601	4.4	9
tt9811316	7.7	10969
tt0125681	8.6	32
tt2297778	8.5	503
tt31048375	9.3	21
tt14827134	6.4	385
tt0512313	6.8	186
tt10003994	6.8	323
tt3012324	4.5	19
tt0396930	7.0	5
tt26671462	3.1	13
tt0559164	7.8	111
tt10385068	7.9	13
tt0055225	4.2	14
tt7314946	8.6	8
tt10251034	7.6	91
tt7168992	6.1	21
tt5276686	7.8	15
tt13482346	3.9	38
tt29538166	8.2	63
tt3081320	5.2	12
tt27828162	6.6	154
tt4926570	7.0	6
tt14721970	7.7	1180
tt0026079	6.5	147
tt0161959	5.3	16
tt3814220	8.7	24
tt3594328	8.0	207
tt6529608	7.1	175
tt7613450	6.4	27
tt26337526	7.6	487
tt0166712	6.7	30
tt8019412	9.2	11
tt5221780	6.2	7
tt9015162	8.0	10
tt0870760	7.4	13
tt17498608	7.1	7
tt10749652	6.8	11
tt14699784	7.0	7
tt2413180	8.9	13
tt0611241	7.1	20
tt0082796	7.3	1274
tt3017058	6.6	15
tt7575100	7.8	21
tt15780784	2.2	29
tt0085167	4.0	555
tt0869344	7.6	8
tt1408476	7.2	16
tt11866614	7.8	58
tt11383382	7.9	30
tt10005864	6.7	20
tt0199150	7.4	19
tt12125178	7.7	209
tt1740009	2.1	14
tt0093182	6.0	346
tt0033978	6.8	198
tt0205753	7.6	143
tt6511610	7.1	130
tt1340472	6.5	15
tt0065504	6.2	81
tt0382256	4.9	12
tt0624063	6.9	44
tt6867818	8.2	9
tt28080139	8.5	7
tt0135684	4.3	24
tt31971722	6.3	23
tt7065902	7.2	33
tt18414346	6.4	31
tt4277084	6.9	12
tt35554708	6.0	12
tt14459014	9.0	556
tt2676780	4.0	42
tt36582146	6.9	18
tt1010271	5.9	31065
tt1995498	7.6	9
tt0690921	8.3	16
tt0262136	7.3	311
tt13236286	8.0	206
tt9046366	8.0	434
tt37202806	8.9	14
tt3103212	7.7	13
tt37959908	9.4	18
tt10623806	8.3	16
tt2113636	5.8	2410
tt13282164	6.5	14
tt0284220	6.5	15
tt5997716	6.7	51
tt9006308	6.0	7
tt29839881	9.4	5
tt0037148	5.3	44
tt0040494	7.1	998
tt0485747	8.4	23
tt7383850	8.1	145
tt2236722	5.7	40
tt0056442	7.5	18
tt0117179	5.7	2698
tt13434724	9.0	7
tt2251385	6.4	22
tt3153566	5.8	22
tt1332004	6.3	26
tt11895574	6.6	9
tt17641008	7.4	6
tt1142972	6.6	2754
tt2457442	6.9	19
tt2708108	8.8	18
tt23181814	7.7	236
tt0736875	7.1	22
tt0733050	6.2	29
tt6886850	7.4	108
tt33796211	5.9	10
tt0759053	7.6	31
tt0109473	6.0	90
tt17378422	5.0	24
tt8390294	6.3	14
tt0831468	7.3	39
tt32749878	8.5	18
tt23728708	7.7	105
tt4362682	7.7	9
tt12311056	5.7	9
tt2123207	4.3	57
tt0892595	7.4	11
tt6285326	8.4	15
tt1041385	8.5	15
tt11435658	8.3	143
tt0742742	6.0	20
tt6073580	6.6	7
tt7236846	8.2	7
tt0386737	7.0	123
tt4520680	5.9	14
tt0288839	5.4	17
tt32487027	7.0	7
tt32583167	7.4	36
tt2184685	8.4	7
tt0081254	7.2	428
tt1523309	7.2	19
tt8791640	7.0	8
tt0283756	3.1	71
tt1032790	8.3	48
tt0778250	8.1	105
tt0063631	4.0	348
tt5684572	6.5	10
tt3171734	5.0	9
tt12015472	6.6	8
tt2679798	6.3	19
tt1254969	7.9	106
tt36334008	5.4	8
tt14321420	6.9	16
tt0081082	4.7	31
tt0483050	6.8	38
tt4180834	6.3	20
tt2888100	5.5	11
tt0624683	7.6	20
tt9837166	6.8	94
tt1176398	6.5	19
tt7286042	6.6	102
tt2210101	6.1	132
tt4052032	8.8	25
tt36856278	6.7	5680
tt15299690	4.9	38
tt0835908	6.3	21
tt13735594	8.6	22
tt4082744	8.6	26146
tt0678095	8.3	128
tt3329496	6.8	34
tt4001102	6.6	9
tt26492196	8.2	7
tt0430989	6.1	344
tt8458098	1.0	85
tt2621636	7.4	15
tt0238609	5.8	9
tt5353998	4.1	62
tt9340622	5.8	23
tt5759248	7.6	22
tt1514944	7.5	7
tt0595265	8.0	21
tt38866401	9.9	18
tt15600214	1.7	14
tt12024738	8.8	7
tt2313674	7.1	27
tt0688730	7.6	271
tt6232096	7.9	14
tt10770502	7.7	528
tt11803032	8.5	11
tt3026202	7.0	68
tt8424862	6.3	97
tt19498616	7.7	15
tt36979847	6.4	48
tt8421692	7.4	335
tt3752220	5.1	978
tt1484103	6.6	7
tt5791392	6.9	9
tt28303800	3.2	6
tt7339584	6.1	808
tt12343594	7.7	323
tt0002535	4.6	64
tt36871082	6.1	61
tt14355682	6.8	8
tt1059214	6.8	41
tt30523657	5.7	6
tt0171627	3.6	111
tt7735020	7.3	99
tt1117017	6.1	629
tt0897460	8.5	105
tt0480946	7.6	12
tt0052008	7.1	56
tt27122936	9.4	781
tt11125820	9.0	187
tt1228987	7.1	133085
tt0532805	7.9	24
tt0591099	7.0	47
tt0096674	4.9	146
tt1585275	7.5	1377
tt6534514	6.0	105
tt31529893	7.9	14
tt32277299	8.0	26
tt3699420	7.7	401
tt4456776	7.1	17
tt1291570	6.4	73837
tt0219216	5.5	164
tt14594728	7.4	5
tt0092144	6.0	1430
tt0577660	6.1	276
tt0525382	7.3	35
tt14905162	8.4	14
tt13215734	4.7	32
tt22023396	7.7	55
tt35033759	6.2	5
tt1626305	8.2	14
tt0232547	5.0	156
tt0972428	8.4	6
tt14701092	7.9	1774
tt4379536	6.1	1478
tt0705844	9.4	30
tt2107874	5.8	124
tt0826807	8.0	11
tt36985994	7.5	1314
tt1139803	6.5	175
tt0036821	5.8	115
tt0160726	6.1	10
tt0711814	8.3	210
tt2966048	8.3	235
tt4119020	7.0	14
tt0035374	7.1	28
tt0440935	5.3	227
tt0621100	9.1	49
tt1232650	6.4	45
tt15729138	6.7	44
tt23159104	3.3	9
tt5770430	5.2	2866
tt1672810	7.8	68
tt12428248	6.0	5
tt30869558	8.3	8
tt37360760	8.0	5
tt4005748	9.6	26
tt2216057	7.3	25
tt6967684	9.0	9
tt14242938	2.9	51
tt0160754	7.0	144
tt14693988	7.0	9
tt28524837	7.1	16
tt16409966	6.1	18
tt6237208	5.2	2176
tt28482455	7.7	112
tt5524986	4.8	11
tt1627895	8.6	10
tt2205485	5.6	112
tt1712064	9.1	24012
tt15046098	7.2	26
tt0054063	5.2	29
tt0797326	7.8	5
tt1437635	7.8	17
tt0075600	7.2	144
tt0106551	7.2	198
tt7069210	6.2	168562
tt0522912	6.6	131
tt0577352	7.4	131
tt27617046	7.9	8
tt11106572	7.4	10
tt21253774	8.2	20
tt8950958	4.3	8
tt3100610	6.1	9
tt0241059	1.5	196
tt1708864	7.6	19
tt1353145	6.2	428
tt2963658	5.4	44
tt2329807	8.5	322
tt11835528	7.2	19
tt1175163	7.4	436
tt1595397	9.6	7
tt32749409	6.3	7
tt5517536	7.5	6
tt11166468	7.4	281
tt3977292	7.9	100
tt0165480	2.7	25
tt7653826	9.9	10
tt0102045	5.3	4897
tt2584582	6.8	622
tt27614199	7.7	7
tt31193950	9.3	16
tt0865546	6.8	1418
tt6584962	5.3	19
tt5524256	8.0	676
tt31704618	6.5	6
tt2364303	7.6	8
tt2066278	5.9	13
tt7992300	9.0	8
tt22752254	6.6	394
tt4603452	6.1	10
tt1520370	6.9	32
tt1561034	8.3	25
tt10520348	4.2	6
tt2066165	4.3	33
tt1503824	5.7	29
tt6276424	8.3	87
tt4346368	8.8	24
tt2657056	8.0	2709
tt5340708	6.5	9
tt1588255	8.3	5509
tt12788270	7.9	24
tt5755378	8.3	7
tt21874618	5.5	29
tt16344418	6.1	8
tt5714396	9.3	7452
tt0706323	8.3	655
tt5643162	6.3	12
tt0915485	5.2	8
tt8297608	8.2	55
tt1840940	6.6	12
tt27421518	7.6	6
tt1939400	6.7	9
tt5771332	7.7	1022
tt1331126	6.3	158
tt0264013	7.5	789
tt1648305	6.8	9
tt1516273	7.4	20
tt34724966	8.2	269
tt9242968	7.8	15
tt1782740	6.1	72
tt0226814	3.0	25
tt7907676	4.4	46
tt5100152	6.9	689
tt0101543	6.4	25
tt4503800	7.5	7
tt2079842	8.5	8
tt4274096	9.3	33
tt27641499	7.5	6
tt30506113	7.2	37
tt2630522	8.6	14
tt10731328	7.8	551
tt1292854	9.3	42
tt0756308	6.4	662
tt29353668	6.5	53
tt33341395	6.4	25
tt1405413	2.7	410
tt0630967	7.4	25
tt10035846	7.8	5
tt12434326	6.8	78
tt1481331	8.1	11
tt1776207	5.0	29
tt2325708	8.1	38
tt27684533	7.1	13
tt14264048	7.0	32
tt0724838	6.9	16
tt1666809	4.9	49
tt0028323	5.0	587
tt12313268	7.1	36
tt13848868	7.5	124
tt0117732	6.9	101
tt3433622	5.7	186
tt11921210	6.1	12
tt2385732	7.9	90
tt0534528	7.0	117
tt6780850	9.1	31
tt0103409	7.0	1420
tt1068347	6.9	10
tt4619572	9.3	601
tt0769193	8.2	22
tt7310178	7.4	1399
tt29418751	6.8	9
tt33318894	8.4	13
tt2318029	6.7	9
tt11075874	7.8	510
tt13824944	8.7	11
tt31963206	9.2	20
tt0763286	7.1	244
tt1677580	6.1	30
tt1334905	7.8	7
tt1176908	7.5	52
tt9895608	7.3	12
tt8888916	8.6	27
tt0051958	6.5	15
tt4724730	7.0	31
tt0503429	7.2	36
tt17346434	5.8	93
tt2397515	7.5	27
tt7066156	8.1	42
tt1343045	7.2	53
tt27350055	7.0	36
tt15295956	7.4	8
tt5796990	6.2	10
tt5312158	8.0	42
tt1260660	7.3	15
tt4664860	6.5	19
tt1976694	8.7	12
tt0373081	7.2	67
tt6205488	8.2	12
tt2380239	8.4	7
tt1141861	9.2	9
tt7080946	5.2	8
tt12926408	6.3	39
tt15535326	8.1	491
tt19064064	7.1	13
tt2835522	4.8	28
tt0619804	7.1	176
tt3642956	7.9	528
tt14135730	7.1	605
tt9075788	7.4	7
tt6876558	7.1	16
tt1119540	4.4	15
tt1018682	7.5	47
tt10423322	8.0	17
tt11754438	6.4	9
tt9866208	3.7	378
tt22334570	5.4	10
tt32338470	7.8	5
tt0226409	3.8	19
tt2323998	6.6	11
tt10347732	8.3	89
tt8206686	7.4	9
tt0660180	7.8	359
tt3601700	6.5	13
tt11313888	3.3	25
tt31417299	3.5	110
tt9678460	4.6	7
tt6664120	7.0	1445
tt33484111	9.1	29
tt5262654	6.7	13
tt5916372	6.8	26
tt3796908	6.8	36
tt2055689	7.4	13
tt3355082	6.2	67
tt15320108	8.6	8
tt6185550	8.2	16
tt2792332	6.7	752
tt29670415	8.6	8
tt0668015	8.0	19
tt3528324	7.0	12
tt14330866	8.0	54
tt33269354	9.1	19
tt0295594	6.9	198
tt7406560	7.3	29
tt10322984	5.6	26
tt1549037	3.7	14
tt1704873	7.6	754
tt1024993	5.3	359
tt35148561	9.2	5
tt17544172	9.3	14
tt7608138	7.5	143
tt0709555	7.3	243
tt14682886	6.8	96
tt0188489	5.3	124
tt0399512	8.5	16
tt0931489	7.3	14
tt26923383	6.8	306
tt2330593	8.4	28
tt1750939	7.0	11
tt0581246	7.5	17
tt5173426	8.3	6669
tt35938169	8.4	6
tt3425108	4.8	327
tt1640116	4.3	1182
tt15145942	7.1	28
tt21810032	9.1	85
tt34584123	3.1	13
tt4893708	6.8	26
tt1593536	7.8	17
tt2219014	6.8	15
tt22245670	5.3	30
tt0367278	3.6	202
tt0322705	6.0	14
tt2361529	3.2	15
tt0082055	6.9	163
tt7177534	4.5	22
tt7612222	8.0	19
tt0584241	6.7	271
tt8351610	7.5	11
tt0055424	5.2	131
tt8869122	9.1	13
tt0795174	8.1	286
tt0604710	7.0	10
tt0071138	4.8	317
tt7332500	7.0	403
tt1219612	7.9	16
tt0666504	8.4	26
tt0759743	5.6	205
tt1436743	4.8	9
tt0215970	3.4	28
tt6726458	6.7	26
tt0659855	7.1	24
tt16823608	9.7	8
tt29293380	8.2	6
tt0305029	6.1	11
tt11243064	5.6	18
tt6728424	7.7	10
tt9207686	7.3	12
tt7152044	7.0	27
tt8670592	5.8	14
tt6521360	4.6	6
tt7913450	6.8	2299
tt0067401	5.0	9
tt12486200	5.7	1076
tt9906262	6.7	245
tt0058666	6.4	1177
tt38628350	7.2	28
tt6998222	5.9	177
tt0024723	7.1	31
tt25398820	6.3	11
tt13978628	4.2	1066
tt0696275	6.5	23
tt12289382	9.0	8
tt0776078	6.7	272
tt10398966	7.3	373
tt0118260	5.9	102
tt9307254	8.2	2133
tt0198674	6.9	15
tt0201988	5.9	62
tt0466988	6.6	213
tt0272538	6.4	8
tt0775962	4.6	8
tt0854763	7.3	306
tt1462548	8.7	12
tt2094443	6.6	8
tt0215044	5.7	42
tt0163895	6.5	112
tt0530970	7.7	320
tt0170390	5.3	123
tt0716843	5.9	515
tt15835132	5.1	77
tt8683480	7.6	6
tt0237068	5.3	51
tt27620916	9.7	30
tt34882785	8.9	9
tt0861679	7.6	8
tt1764657	7.9	2038
tt0564802	6.3	38
tt5992046	8.7	10
tt37707172	10.0	10
tt0183981	3.7	105
tt5512676	7.8	12
tt7843708	8.9	20
tt3402640	7.3	24
tt28679121	7.6	831
tt1756572	6.3	23
tt14441188	8.2	237
tt0228199	4.8	206
tt0492866	5.0	630
tt30852996	6.7	51
tt0664414	7.1	23
tt1711023	6.4	42
tt4616190	8.4	165
tt6630034	6.1	8
tt9348172	8.0	2599
tt0565979	7.5	43
tt0166641	5.4	31
tt0558278	7.6	68
tt27369851	1.3	22
tt1605959	7.8	7
tt6812710	7.4	163
tt0554136	9.0	7
tt1621752	7.5	27
tt10591058	6.6	56
tt3282476	8.1	14
tt2157871	8.2	5
tt8800868	7.7	14
tt9139874	6.6	11
tt6017884	4.9	12
tt2298788	7.7	53
tt5529576	6.5	72
tt1914967	8.3	109
tt2731750	6.0	8
tt9109278	2.9	153
tt0040438	6.6	738
tt35161740	8.0	205
tt2389052	7.6	71
tt0805757	7.7	752
tt27803513	7.8	452
tt0701380	8.7	9
tt5541338	7.3	14854
tt8381142	4.6	52
tt0361007	5.5	19
tt0551635	7.4	19
tt3090892	2.2	6
tt0186720	5.7	152
tt5844554	5.2	23
tt1399594	8.1	12
tt0387954	5.4	1018
tt8042132	6.7	1516
tt3179404	5.0	6
tt1173892	7.6	15
tt39127586	7.5	14
tt1289511	8.2	11
tt12721846	7.8	11
tt17076520	7.1	36
tt5542238	7.4	199
tt0530436	7.9	18
tt7148010	8.0	296
tt0464210	6.8	10
tt0082208	6.0	518
tt0220288	4.0	27
tt28476236	7.3	10
tt10443974	7.0	7
tt35485059	9.7	17
tt31511474	7.6	15
tt3784364	7.3	162
tt1281813	7.7	122
tt5389440	9.0	23
tt1035239	6.6	18
tt6466510	5.6	21
tt4190188	7.1	151
tt0592711	7.8	142
tt0398151	8.5	18
tt1653486	8.4	66
tt29005306	1.9	10
tt7275846	5.6	14
tt7607696	7.7	1140
tt6852178	6.6	4508
tt0771363	7.5	30
tt0551425	7.8	2301
tt1798673	4.5	15
tt0784337	7.1	252
tt3509142	2.9	10
tt28484838	5.5	160
tt29433370	7.5	394
tt0429544	5.1	16
tt0078129	7.0	946
tt2122464	3.6	15
tt0064328	5.5	749
tt15516542	8.5	6
tt36882283	8.0	8
tt1507566	5.4	260
tt0657049	7.8	51
tt35677385	7.5	15
tt6573190	8.4	77
tt0040956	6.0	158
tt5582770	8.8	14
tt9881516	8.1	571
tt19638644	6.1	9
tt0142378	4.3	30
tt37895131	6.4	8
tt4188272	8.1	12
tt0065550	6.0	571
tt0461689	8.4	7
tt5273116	4.5	17
tt29358712	7.8	5
tt6942572	3.7	92
tt7314118	4.9	3938
tt11354886	7.1	915
tt0311463	5.4	14
tt0827869	7.7	176
tt2649540	7.9	30
tt3225014	5.4	14
tt0312383	5.8	25
tt3468662	9.8	9
tt29908348	7.8	7
tt28484412	9.5	25
tt1758662	7.9	86
tt5057552	5.2	21
tt0976552	6.3	10
tt3998350	8.1	196
tt0584137	7.1	357
tt1064280	5.4	9
tt30488914	5.8	134
tt11872716	7.9	15
tt0373416	4.4	6091
tt0688084	8.1	419
tt33809986	10.0	6
tt0209941	6.2	96
tt28608909	5.3	71
tt7365222	8.5	7
tt7698982	5.9	804
tt0397872	4.8	114
tt10621044	7.8	46
tt7566914	6.4	19
tt32057359	8.3	31
tt7147112	7.7	22
tt1198137	6.9	13
tt6763946	6.7	9
tt31064355	6.8	5
tt0716997	5.4	350
tt1304231	7.3	104
tt1249026	7.9	148
tt0459657	7.7	49
tt17519884	7.2	13
tt25260562	6.2	22
tt2259123	7.7	18
tt8141834	7.3	46
tt4308590	7.4	31
tt10308080	6.4	103
tt0706037	8.2	61
tt29233518	6.6	3162
tt0458440	6.3	86
tt0288243	3.6	2181
tt8418214	7.6	1781
tt13749394	8.8	290
tt10600896	9.1	8
tt22024354	10.0	7
tt0594906	7.9	13
tt9071244	6.5	15
tt2648226	9.2	52
tt0055040	6.2	26
tt4148408	6.5	39
tt0359109	5.6	125
tt13283042	9.6	9
tt0575132	7.1	26
tt0612117	8.7	33
tt1645919	7.8	92
tt8483906	7.1	30
tt1682615	7.7	1042
tt5127912	6.9	23
tt2596256	7.6	50
tt9818178	8.2	964
tt14117260	8.2	4743
tt8312692	6.4	9
tt30095615	7.1	8
tt5586548	6.6	87
tt0577099	8.0	185
tt5560250	7.4	58
tt29547995	7.0	129
tt2402745	7.5	31
tt5949262	6.0	26
tt1398767	8.7	8
tt1345186	8.4	375
tt32083294	6.5	122
tt16985080	1.0	7
tt2090853	8.9	10
tt5545138	7.2	10
tt38783104	6.5	10
tt5748790	8.0	8
tt21281482	7.3	25
tt9059866	6.6	11
tt28776689	6.6	39
tt5030932	8.1	41
tt0673911	6.9	59
tt12304706	4.0	69
tt1752508	6.7	746
tt0342772	5.4	13
tt4793018	5.8	200
tt0276240	2.6	353
tt3319964	7.5	298
tt14628376	8.3	102
tt0808503	8.7	21
tt12979964	8.1	17
tt0105934	6.2	76
tt1386218	8.0	83
tt1217637	7.1	10325
tt12627210	8.7	54
tt10105258	9.1	105
tt31975621	9.1	7
tt0163505	7.9	484
tt18252170	7.2	126
tt7863018	6.8	19
tt12021672	7.2	6
tt3658688	6.6	9
tt0964242	8.8	23
tt0178338	6.6	14
tt0053694	4.7	262
tt30894108	7.4	16
tt0259614	6.1	18
tt33372494	7.6	20601
tt0354410	5.9	14
tt2145308	8.2	16
tt36508473	7.8	10
tt0268104	4.2	14
tt7274984	8.6	10
tt19733958	4.2	11
tt2709206	8.4	7
tt10909092	6.5	46
tt1157040	5.7	12
tt0447296	2.8	15
tt11331760	7.5	24
tt4221854	3.5	84
tt1695990	5.9	640
tt0629178	7.5	354
tt32580925	5.7	12
tt3541280	2.3	11
tt2733518	7.3	8
tt1886232	6.3	7
tt1605912	8.5	71
tt7147618	8.2	37
tt0636802	6.8	101
tt3146252	7.9	997
tt1031973	6.9	230
tt34773197	8.0	63
tt27497191	8.3	28
tt11013824	6.0	9
tt1562084	7.9	44
tt27845723	6.7	7
tt0158905	3.6	158
tt10752248	8.2	79
tt38013092	6.1	7
tt0213683	6.4	13
tt1447824	9.3	10
tt9853908	7.4	249
tt0981465	8.1	44
tt0030128	7.1	4191
tt10333134	7.8	21
tt3054760	7.1	10
tt1810551	4.1	9
tt0102443	7.1	10629
tt36364166	7.3	17
tt8648708	8.6	2033
tt28352587	5.7	168
tt14928516	7.6	6
tt10066506	6.3	13
tt0506982	9.0	42
tt29102263	6.5	271
tt0702719	6.8	202
tt3110252	7.0	12
tt0158238	3.0	10
tt0029079	7.0	38
tt3488298	7.7	10442
tt1263818	8.8	38
tt5037668	6.2	13
tt3700188	6.8	13
tt11456008	7.7	8
tt13282188	8.7	36
tt0168571	6.3	35
tt5804854	1.5	138
tt11563628	7.6	7
tt2421868	6.8	267
tt35279278	6.0	66
tt5422000	5.8	114
tt10574648	7.2	18
tt10054932	5.2	9
tt21059990	8.7	11
tt12365722	7.1	26
tt1860410	7.0	8
tt7588168	7.9	13
tt28060374	6.3	16
tt6988080	8.6	9
tt4328210	8.3	23
tt1050384	5.0	24
tt9840330	7.8	17
tt0208888	7.2	25
tt1918710	4.8	7
tt0814931	8.1	18
tt1549748	8.1	69
tt7364796	7.1	21
tt30581598	7.4	11
tt0022214	6.9	169
tt27812376	6.0	9
tt0620801	7.1	336
tt7471470	5.7	6
tt1559681	7.7	696
tt5126884	7.6	175
tt1598215	8.2	111
tt2328831	7.3	8
tt11833408	4.5	3584
tt14707522	9.0	12
tt8395472	4.1	18
